course_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Finite Element Method (FEM) Analysis and Applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988553113553,0,0,0,0,0,0,0,0,0,0
Accounting for Entrepreneurs by Sonia Gil,0,0.0204630056236,0,0,0,0,0.720942516239,0,0,0,0,0,0,0,0.0202921913841,0.186293075317,0,0,0,0,0.0486989970602,0,0,0,0,0
Guitar - Rock - Beginner/Intermediate with Marc Seal,0,0,0,0,0,0.205828130885,0,0,0,0,0,0,0,0,0,0,0,0,0.732633407569,0,0,0,0,0,0,0
Essential Public Speaking Skills For People In Business,0,0.213277093869,0,0,0.0623576038492,0.491267067592,0.208757813635,0,0.0221515530125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Learning Perl by Example,0,0,0,0,0,0,0,0,0,0,0,0.0615585477641,0,0.879774084583,0,0.0566005092778,0,0,0,0,0,0,0,0,0,0
Yoga for Busy Professionals,0,0,0,0,0,0.0477473586284,0,0,0.612135508,0,0,0,0,0,0,0,0,0.291906737132,0,0,0.0445030792029,0,0,0,0,0
Learn JMETER from Scratch -(Performance + Load) Testing Tool,0,0,0,0,0,0,0,0,0,0,0,0.638357375309,0,0,0,0,0,0,0,0,0.0692555237372,0.276590397656,0,0,0,0
Introduction to PHP Programming Language,0,0,0,0,0,0,0,0,0,0,0,0.609066952721,0,0.312590447209,0,0,0,0,0,0,0,0,0,0,0.0523245005213,0
High School Algebra For Beginners ,0,0,0,0,0,0.238205108867,0,0,0,0,0,0,0,0,0,0.745311374648,0,0,0,0,0,0,0,0,0,0
Learn to Code in Game Maker Language,0,0,0.239264929227,0,0,0,0,0,0,0,0.0143168236126,0,0.0191319718428,0.725912648944,0,0,0,0,0,0,0,0,0,0,0,0
"Saving Schools, Mini-Course 3: Accountability and National Standards",0,0.443322837344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3023753971,0,0,0,0.212470265568,0,0,0,0,0,0.0292023381041
Leadership - The #1 Key to Guaranteed Business Success,0,0.148572631795,0.0847573590193,0,0,0.756011992503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mastering Introductory SQL Made Easy Training Tutorial,0,0.0179396765378,0,0,0,0,0,0,0,0,0.570211595287,0,0,0.384719851304,0,0.0265688809442,0,0,0,0,0,0,0,0,0,0
Advanced JavaScript Programming,0,0,0,0,0,0,0,0,0,0,0.503755139092,0.171204435103,0,0,0,0,0,0,0,0,0,0,0.302925041189,0,0,0
The Civil War and Reconstruction- 1850-1861: A Nation Divided,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0704796249554,0,0,0,0.694430378766,0,0,0,0,0,0.220822006203
PHP 5 Introduction to coding Tutorial bootcamp,0,0,0,0,0,0.164895783175,0,0,0,0.257604751729,0.394410340627,0,0,0.170268611648,0,0,0,0,0,0,0,0,0,0,0,0
A-Level Statistics,0,0,0,0,0,0.188794160101,0,0,0,0,0,0,0,0,0,0.794111822804,0,0,0,0,0,0,0,0,0,0
Write on Target: Better Business Writing for Results,0,0.114936147073,0,0,0.224820649838,0.138034507354,0,0.294970982034,0.0202063891239,0,0,0,0.0175087362618,0.0140600251119,0,0,0,0,0,0,0.0919417345961,0.0675577191176,0,0,0,0
Seeing the Big Picture: Understanding Financial Statements,0,0.0316601974153,0,0,0,0,0.553059030665,0,0,0,0,0,0,0,0,0.341336929232,0,0,0.0630957164546,0,0,0,0,0,0,0
Learn SignalR: Make a Full Featured Chat App From Scratch,0,0,0,0.0228960358141,0,0.338247625179,0,0,0,0,0,0.465738131005,0.0676382347571,0.0987492040137,0,0,0,0,0,0,0,0,0,0,0,0
Anatomy of Fitness - Yoga,0,0,0,0,0,0,0,0,0.436677576156,0,0.120693490766,0,0,0,0,0,0,0.137656438213,0,0.0982591059688,0.198299927357,0,0,0,0,0
Rid Yourself of Fear of the Camera,0,0,0,0,0,0.785860601685,0,0,0.0895910761654,0,0,0,0,0,0,0,0,0,0,0,0.12270152594,0,0,0,0,0
Introduction to Sprite Kit with iOS7 and Xcode 5,0,0,0.766322976776,0,0,0,0,0,0,0.0451150071817,0.0936861748587,0,0,0.0924719950294,0,0,0,0,0,0,0,0,0,0,0,0
Электричество и магнетизм. Часть 2 (Electricity and Magnetism. Part 2),0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615,0.0384615384615
How To Make A Record,0,0,0.145084822963,0,0,0.34971070386,0.0742046572732,0.0403440830364,0,0,0,0,0,0,0,0,0,0,0.104069520714,0,0,0.283593096319,0,0,0,0
Get out of Debt - The Power of Using Compounding Interest,0,0,0,0,0,0,0.770201352843,0,0,0,0,0,0,0,0.055752431218,0.122236695793,0,0.0295423136675,0,0,0,0,0,0,0,0
"ETV: Paludismo, Dengue y Chikungunya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943438914027,0,0,0,0,0,0,0,0,0
Wordpress 2015 For Beginners: No Coding Build Site ,0,0,0,0,0,0.0497911170705,0,0,0,0,0.500442228174,0,0,0,0,0,0,0,0,0,0,0.411537540911,0,0,0.0275183056648,0
"Git Complete: The definitive, step-by-step guide to Git",0,0.157572125586,0,0.0473213891335,0,0.109929665694,0,0,0,0,0.402286081863,0.117042476558,0,0,0,0,0,0,0,0,0,0.161550882566,0,0,0,0
Roman Architecture,0,0,0,0.0122692515412,0,0,0,0.828194850239,0,0,0,0,0,0,0,0,0,0,0,0.105871570059,0,0,0.0504098902907,0,0,0
Narrative Essay Writing for Students,0,0,0.0130206069229,0.105602512509,0.132181723427,0.155410807861,0,0.320228791395,0.0249463781053,0,0.0270000572903,0,0.0831188836757,0,0,0.0238588807555,0,0.0238844595124,0.0330625203093,0.0516249546446,0,0,0,0,0,0
Easy Teespring Profit System : Make Money Designing T Shirts,0,0,0,0,0,0.441815143518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545539967124,0,0,0,0
The Ins & Outs of the Newest JavaScript: ES6,0,0,0,0,0,0.128015301835,0,0,0,0,0,0.43405116662,0,0.424029524855,0,0,0,0,0,0,0,0,0,0,0,0
Heal Your Arthritis Now Using Self Hypnosis And Imagery,0,0,0,0,0,0,0,0,0.886324745985,0,0,0,0,0,0,0,0,0.0242085922306,0,0,0,0,0.0528737829141,0.0222512882569,0,0
粒子世界探秘 Exploring Particle World,0,0,0,0,0,0,0,0,0,0,0,0,0.329189134732,0,0,0,0,0,0,0.339330891604,0,0,0,0.314789117349,0,0
Prezi for Educators,0,0,0,0.198933519155,0,0.395690475563,0,0,0,0,0.111355612598,0,0,0,0,0,0,0,0,0,0.139812864978,0.128152937133,0,0,0,0
How to help your child in the world of soccer,0,0,0,0,0,0.723374158582,0,0,0,0.0885725458537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176855632467
YouTube: How I Make $1000s With YouTube Video Reviews,0,0,0.0802699783365,0,0,0.0956886436323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121203558312,0.692393618061,0,0,0,0
Strategy at Speed,0,0.0857566733951,0,0,0.0241894928863,0,0.447000408555,0,0.12009978316,0,0,0,0,0,0,0,0,0.0726922452117,0,0,0.0492562053989,0.190994653985,0,0,0,0
"Advanced Management Training: Leadership, Negotiation + More",0,0.645587514878,0.117339591409,0.106427257593,0,0,0.0685463670911,0,0,0,0,0,0.035808462355,0,0,0,0,0,0.0228567407391,0,0,0,0,0,0,0
Shopify Bootcamp: Create an Online Store with Shopify,0,0,0,0,0,0,0,0,0,0,0.0553451934542,0,0,0,0,0,0,0,0,0,0,0.933116345007,0,0,0,0
"Ruby, 1st script to expert scripter; Lite Edition",0,0,0,0,0,0,0,0,0.130537087462,0,0,0.125319349695,0,0.728059646757,0,0,0,0,0,0,0,0,0,0,0,0
Introduction to Mathematical Thinking,0,0.0942709599849,0,0,0,0.103697812006,0,0,0,0,0,0,0.370912530705,0,0,0.31234836858,0,0,0,0.111866975667,0,0,0,0,0,0
Kits de técnicas para la comunicación oral,0,0,0,0,0,0,0.476587407313,0,0,0,0,0,0,0,0,0,0.292643361909,0,0,0,0,0,0,0,0,0
Write Better Fiction With The Hero's Journey,0.124104619228,0,0,0,0,0.375582804041,0.0362994009582,0.194131505629,0,0,0,0,0,0,0,0,0,0,0,0,0.104033984811,0,0,0,0,0.152809875684
SQL Database for Beginners,0,0,0,0,0,0,0,0,0,0.7131660812,0,0,0,0,0,0,0,0,0,0.17144930341,0,0,0,0,0,0
Database Management System,0,0,0,0,0,0,0,0,0.223777114226,0,0.488671104769,0,0,0.146755703191,0,0.120158179126,0,0,0,0,0,0,0,0,0,0
How To Grow A Profitable Construction Business,0,0.0897767721709,0.0228465667808,0,0,0.0393237858159,0.767285090485,0.020651702368,0,0,0,0.0146872830946,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276715014343
Introduction to Big Data with Apache Spark,0,0.307498615057,0,0,0,0,0,0,0,0,0.189593210751,0.2296814669,0,0.0725120275355,0,0.189945448987,0,0,0,0,0,0,0,0,0,0
Enhance Your Speaking Voice,0,0.125645773994,0.0548527890862,0,0.135875822471,0.149302905407,0,0,0.316301744294,0,0,0,0,0,0,0.0385601975799,0,0,0.0546441602498,0,0,0.0401576803365,0,0,0,0.0830602807283
Everyone is a Leader,0,0.3942316849,0,0,0,0.389747680631,0,0,0,0.100221172861,0,0,0,0,0,0,0,0.0646412111239,0,0,0,0.0247882963049,0,0,0,0.0191130601305
Preparation for Introductory Biology: DNA to Organisms,0,0,0,0,0.116484855868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532045681457,0,0,0,0.333416087477,0,0
Learn Social Psychology - The Self & Self-Esteem,0,0,0,0,0,0.504039873423,0,0,0.0353331508478,0,0,0,0.310679993652,0,0,0,0,0,0,0.0922298812621,0,0.0444001247001,0,0,0,0
How I Create a Udemy Course in 5 Hours!,0,0,0,0,0,0.507593196123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236753155796,0.468165877437,0,0,0,0
Learn to Make Android Apps - for Absolute Beginners,0,0,0,0,0,0,0,0,0,0,0.323146735005,0.321641659555,0,0.334149334377,0,0,0,0,0,0,0,0,0,0,0,0
Traveling With Your iPhone,0,0.108494860394,0,0.0228268490524,0.085739027678,0,0.0375173405361,0,0,0.384784751372,0.0366394401156,0.0920047574543,0,0,0,0,0.0833194024699,0,0,0,0,0,0,0,0,0.140981263236
Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,0,0.378302245447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567399112018,0,0,0
